video_url,duration,description,hours,id,video_path,success,num_frames,height,width,aspect_ratio,resolution,csv_ori
https://www.youtube.com/watch?v=r6StyOLjsdA,1:01:07,"Tokyo Shibuya Evening Walk, Japan • 4K HDR",1.0186111111111111,r6StyOLjsdA,/share/wjh/raw_videos/total_done_sample_apd_1/r6StyOLjsdA.webm,False,0,0,0,,,total_done_sample_200_59
https://www.youtube.com/watch?v=lDRrtXhpAT4,55:21,"Rainy day walk in Kamakura, Kanagawa, Japan • 4K HDR",0.9225,lDRrtXhpAT4,/share/wjh/raw_videos/total_done_sample_apd_1/lDRrtXhpAT4.webm,False,0,0,0,,,total_done_sample_200_59
https://www.youtube.com/watch?v=hNscH7F2zSg,1:00:30,"Evening Walk in Tokyo Odaiba, Japan • 4K HDR",1.0083333333333333,hNscH7F2zSg,/share/wjh/raw_videos/total_done_sample_apd_1/hNscH7F2zSg.webm,False,0,0,0,,,total_done_sample_200_64
https://www.youtube.com/watch?v=xSy7NeaB-Ds,35:23,Japan after dark - Tokyo Kanda walking tour • 4K HDR,0.5897222222222223,xSy7NeaB-Ds,/share/wjh/raw_videos/total_done_sample_apd_1/xSy7NeaB-Ds.webm,False,0,0,0,,,total_done_sample_200_64
https://www.youtube.com/watch?v=MOzAy6VKwOk,1:18:30,Frozen City: A Winter Night Walk Through Icy Streets | Ambience Sounds 4K HDR,1.3083333333333331,MOzAy6VKwOk,/share/wjh/raw_videos/total_done_sample_apd_1/MOzAy6VKwOk.webm,False,0,0,0,,,total_done_sample_200_64
https://www.youtube.com/watch?v=u_5wLvlRhc0,3:18:47,"3 Hours of Rainy Night Walk in Tokyo, Japan • 4K HDR",3.313055555555555,u_5wLvlRhc0,/share/wjh/raw_videos/total_done_sample_apd_1/u_5wLvlRhc0.webm,False,0,0,0,,,total_done_sample_200_58
https://www.youtube.com/watch?v=UzXH5bYH2Dg,1:20:06,中国村庄步行，梯田上传统村寨的生活，贵州白岩村・4K,1.335,UzXH5bYH2Dg,/share/wjh/raw_videos/total_done_sample_apd_1/UzXH5bYH2Dg.webm,False,0,0,0,,,total_done_sample_200_58
https://www.youtube.com/watch?v=egFIMPY6nWA,36:53,Cherry Blossom Seoul 2023 Gyeongui Line Forest Park | Travel Korea 4K HDR,0.6147222222222222,egFIMPY6nWA,/share/wjh/raw_videos/total_done_sample_apd_1/egFIMPY6nWA.webm,False,0,0,0,,,total_done_sample_200_7
https://www.youtube.com/watch?v=Pp-3NW7x_sQ,24:03,雅西高速最令人惊叹的路段 - 领略泥巴山隧道两头的阴阳两重天,0.4008333333333334,Pp-3NW7x_sQ,/share/wjh/raw_videos/total_done_sample_apd_1/Pp-3NW7x_sQ.webm,False,0,0,0,,,total_done_sample_200_74
https://www.youtube.com/watch?v=JXFoWiFyVgc,1:01:13,"Japan - Kamakura Walking Tour, Summer 2024 • 4K HDR",1.0202777777777776,JXFoWiFyVgc,/share/wjh/raw_videos/total_done_sample_apd_1/JXFoWiFyVgc.webm,False,0,0,0,,,total_done_sample_200_57
https://www.youtube.com/watch?v=Sh7rd_9VwrY,1:03:50,Tokyo Autumn Night Walk | Shinjuku Christmas Lights 2023 • 4K HDR,1.0638888888888889,Sh7rd_9VwrY,/share/wjh/raw_videos/total_done_sample_apd_1/Sh7rd_9VwrY.webm,False,0,0,0,,,total_done_sample_200_22
https://www.youtube.com/watch?v=77cK20TZ7pU,53:09,"Tokyo Asakusa, Kappabashi Shopping St Walking Tour • 4K HDR",0.8858333333333333,77cK20TZ7pU,/share/wjh/raw_videos/total_done_sample_apd_1/77cK20TZ7pU.webm,False,0,0,0,,,total_done_sample_200_136
https://www.youtube.com/watch?v=GIUAgZ1tC_Q,49:33,Walk Along The Stone Wall Of Gyeongbokgung Palace And Autumn Leaves | Seoul Travel 4K HDR,0.8258333333333333,GIUAgZ1tC_Q,/share/wjh/raw_videos/total_done_sample_apd_1/GIUAgZ1tC_Q.webm,False,0,0,0,,,total_done_sample_200_136
https://www.youtube.com/watch?v=Tbu1a9pKIsU,1:33:01,Tokyo Japan - Shinjuku Snowy Night Walk • 4K HDR,1.550277777777778,Tbu1a9pKIsU,/share/wjh/raw_videos/total_done_sample_apd_1/Tbu1a9pKIsU.webm,False,0,0,0,,,total_done_sample_200_54
https://www.youtube.com/watch?v=cwO-3DbJsXw,26:24,INSIDE AN IMPRESSIVE LUXURY HOME FOR SALE W/ A MASSIVE PANTRY | $4M,0.44,cwO-3DbJsXw,/share/wjh/raw_videos/total_done_sample_apd_1/cwO-3DbJsXw.webm,False,0,0,0,,,total_done_sample_200_118
https://www.youtube.com/watch?v=Vu8TjX3lu0g,1:01:34,"Tokyo Night Walk in Chuo City, Japan • 4K HDR",1.026111111111111,Vu8TjX3lu0g,/share/wjh/raw_videos/total_done_sample_apd_1/Vu8TjX3lu0g.webm,False,0,0,0,,,total_done_sample_200_145
